score,source,target
10.02,/workshop-files//Geographical Indications 04.DOC,/workshop-files//dhb changes.doc
10.25,/workshop-files//Suter Art Gallery .doc,/workshop-files//stalactites.doc
10.25,/workshop-files//te papa 05.doc,/workshop-files//stalactites.doc
10.25,/workshop-files//Waitangi day Atawhai opening.doc,/workshop-files//kiwisaver amendment.doc
10.48,/workshop-files//aircare 24nov2005.doc,/workshop-files//taiwan national day.doc
10.71,/workshop-files//zero tertiary fees.doc,/workshop-files//te papa 05.doc
10.71,/workshop-files//Waitangi day Atawhai opening.doc,/workshop-files//election date.doc
10.93,/workshop-files//ACCSafetyAwards15Aug.doc,/workshop-files//taiwan national day.doc
10.93,/workshop-files//te papa 05.doc,/workshop-files//kiwisaver amendment.doc
10.93,/workshop-files//stalactites.doc,/workshop-files//Waitangi day Atawhai opening.doc
11.16,/workshop-files//belgrave.doc,/workshop-files//te papa 05.doc
11.16,/workshop-files//te papa 05.doc,/workshop-files//election date.doc
11.39,/workshop-files//Speech notes - Fishermen's Daughters 2008.doc,/workshop-files//taiwan national day.doc
11.62,/workshop-files//Backup of NZ Music Month quiz answers 2006.wbk,/workshop-files//080507 - new prison welcomed.doc
11.62,/workshop-files//Speech notes - Fishermen's Daughters 2008.doc,/workshop-files//dhb changes.doc
11.85,/workshop-files//zero tertiary fees.doc,/workshop-files//Arts Pasifika Awards 2007 .doc
11.85,/workshop-files//aircare 23nov2005.doc,/workshop-files//dhb changes.doc
11.85,/workshop-files//NZ music a hit in New Yorkl.doc,/workshop-files//kiwisaver amendment.doc
11.85,/workshop-files//Suter Art Gallery .doc,/workshop-files//dhb changes.doc
11.85,/workshop-files//Otago Heritage Seminar 10Oct02.doc,/workshop-files//mccarthyism.doc
11.85,/workshop-files//te papa 05.doc,/workshop-files//taiwan national day.doc
12.07,/workshop-files//zero tertiary fees.doc,/workshop-files//NZ music a hit in New Yorkl.doc
12.07,/workshop-files//NZ music a hit in New Yorkl.doc,/workshop-files//belgrave.doc
12.07,/workshop-files//NZ music a hit in New Yorkl.doc,/workshop-files//stalactites.doc
12.07,/workshop-files//stalactites.doc,/workshop-files//Geographical Indications 04.DOC
12.07,/workshop-files//Waitangi day Atawhai opening.doc,/workshop-files//taiwan national day.doc
12.30,/workshop-files//Suter Art Gallery .doc,/workshop-files//belgrave.doc
12.30,/workshop-files//Backup of NZ Music Month quiz answers 2006.wbk,"/workshop-files//081308 - Study shows, auckland packed with entrepreneurs.doc"
12.30,/workshop-files//te papa 05.doc,/workshop-files//dhb changes draft.doc
12.53,/workshop-files//NZ music a hit in New Yorkl.doc,/workshop-files//dhb changes draft.doc
12.53,/workshop-files//Suter Art Gallery .doc,/workshop-files//taiwan national day.doc
12.76,/workshop-files//Suter Art Gallery .doc,/workshop-files//dhb changes draft.doc
12.76,/workshop-files//belgrave.doc,/workshop-files//Waitangi day Atawhai opening.doc
