score,source,target
597,/workshop-files//aircare 23nov2005.doc,/workshop-files//Suter Art Gallery .doc
608,/workshop-files//aircare 23nov2005.doc,/workshop-files//Backup of Ruataniwha speech 2.wbk
378,/workshop-files//aircare 23nov2005.doc,/workshop-files//belgrave.doc
461,/workshop-files//aircare 23nov2005.doc,/workshop-files//Backup of NZ Music Month quiz answers 2006.wbk
186,/workshop-files//aircare 23nov2005.doc,/workshop-files//Otago Heritage Seminar 10Oct02.doc
501,/workshop-files//aircare 23nov2005.doc,/workshop-files//Grey Power Manawatu 15 July.doc
14,/workshop-files//aircare 23nov2005.doc,/workshop-files//aircare 24nov2005.doc
152,/workshop-files//aircare 23nov2005.doc,/workshop-files//te papa 05.doc
603,/workshop-files//aircare 23nov2005.doc,/workshop-files//Speech notes - Fishermen's Daughters 2008.doc
149,/workshop-files//aircare 23nov2005.doc,/workshop-files//Auckland roading projects start 21Nov03.doc
248,/workshop-files//aircare 23nov2005.doc,/workshop-files//air nz future.doc
557,/workshop-files//aircare 23nov2005.doc,"/workshop-files//081308 - Study shows, auckland packed with entrepreneurs.doc"
387,/workshop-files//aircare 23nov2005.doc,/workshop-files//stalactites.doc
483,/workshop-files//aircare 23nov2005.doc,/workshop-files//key reaction.doc
570,/workshop-files//aircare 23nov2005.doc,/workshop-files//Arts Pasifika Awards 2007 .doc
137,/workshop-files//aircare 23nov2005.doc,/workshop-files//New NZSO CEO 8May02.doc
154,/workshop-files//aircare 23nov2005.doc,/workshop-files//Sargent gallery.doc
585,/workshop-files//aircare 23nov2005.doc,/workshop-files//Waitangi day Atawhai opening.doc
486,/workshop-files//aircare 23nov2005.doc,/workshop-files//mccarthyism.doc
133,/workshop-files//aircare 23nov2005.doc,/workshop-files//Sarjeant gallery.doc
93,/workshop-files//aircare 23nov2005.doc,/workshop-files//NZSafetyAwards15Aug.doc
228,/workshop-files//aircare 23nov2005.doc,/workshop-files//supreme court.doc
561,/workshop-files//aircare 23nov2005.doc,/workshop-files//080507 - new prison welcomed.doc
386,/workshop-files//aircare 23nov2005.doc,/workshop-files//kiwisaver amendment.doc
130,/workshop-files//aircare 23nov2005.doc,/workshop-files//Geographical Indications 04.DOC
385,/workshop-files//aircare 23nov2005.doc,/workshop-files//taiwan national day.doc
462,/workshop-files//aircare 23nov2005.doc,/workshop-files//NZ Music Month quiz answers 2006.doc
398,/workshop-files//aircare 23nov2005.doc,/workshop-files//dhb changes.doc
380,/workshop-files//aircare 23nov2005.doc,/workshop-files//dhb changes draft.doc
388,/workshop-files//aircare 23nov2005.doc,/workshop-files//election date.doc
60,/workshop-files//Tui NZ music awards 10May02.doc,/workshop-files//Bike regs.doc
95,/workshop-files//Tui NZ music awards 10May02.doc,/workshop-files//NZ music a hit in New Yorkl.doc
666,/workshop-files//Tui NZ music awards 10May02.doc,/workshop-files//Suter Art Gallery .doc
660,/workshop-files//Tui NZ music awards 10May02.doc,/workshop-files//Backup of Ruataniwha speech 2.wbk
436,/workshop-files//Tui NZ music awards 10May02.doc,/workshop-files//belgrave.doc
503,/workshop-files//Tui NZ music awards 10May02.doc,/workshop-files//Backup of NZ Music Month quiz answers 2006.wbk
187,/workshop-files//Tui NZ music awards 10May02.doc,/workshop-files//Otago Heritage Seminar 10Oct02.doc
544,/workshop-files//Tui NZ music awards 10May02.doc,/workshop-files//Grey Power Manawatu 15 July.doc
93,/workshop-files//Tui NZ music awards 10May02.doc,/workshop-files//aircare 24nov2005.doc
126,/workshop-files//Tui NZ music awards 10May02.doc,/workshop-files//te papa 05.doc
674,/workshop-files//Tui NZ music awards 10May02.doc,/workshop-files//Speech notes - Fishermen's Daughters 2008.doc
77,/workshop-files//Tui NZ music awards 10May02.doc,/workshop-files//Auckland roading projects start 21Nov03.doc
224,/workshop-files//Tui NZ music awards 10May02.doc,/workshop-files//air nz future.doc
562,/workshop-files//Tui NZ music awards 10May02.doc,"/workshop-files//081308 - Study shows, auckland packed with entrepreneurs.doc"
447,/workshop-files//Tui NZ music awards 10May02.doc,/workshop-files//stalactites.doc
486,/workshop-files//Tui NZ music awards 10May02.doc,/workshop-files//key reaction.doc
632,/workshop-files//Tui NZ music awards 10May02.doc,/workshop-files//Arts Pasifika Awards 2007 .doc
33,/workshop-files//Tui NZ music awards 10May02.doc,/workshop-files//New NZSO CEO 8May02.doc
84,/workshop-files//Tui NZ music awards 10May02.doc,/workshop-files//Sargent gallery.doc
665,/workshop-files//Tui NZ music awards 10May02.doc,/workshop-files//Waitangi day Atawhai opening.doc
